description,glotto_code,id,iso_code,jsondata,latitude,longitude,markup_description,name,pk,subfamily
,akun1241,aqz,aqz,{},-12.8322,-60.9716,,Akuntsu,1,Tuparí
,aman1266,ama,ama,{},-3.8,-48.66,,Amanaye,2,Tupi-Guarani
,amun1246,adw,adw,{},-9.04023,-62.3064,,Amondawa,3,Tupi-Guarani
,anam1249,aan,aan,{},-2.71119,-49.303,,Anambe,4,Tupi-Guarani
,anam1251,ane,???,{},-4.5,-50.5,,Anambe Ehrenreich,5,Tupi-Guarani
,???,apa,???,{},-23.7325,-54.4528,,Apapokuva_of_Nimuendaju,6,Tupi-Guarani
,apia1248,api,api,{},-7.84711,-57.91,,Apiaka,7,Tupi-Guarani
,araw1273,awt,awt,{},-4.90246,-52.5001,,Araweté,8,Tupi-Guarani
,arik1264,ait,ait,{},-8.92,-63.74,,Arikem,9,Arikem
,arua1261,arx,arx,{},-12.12,-62.44,,Arua,10,Mondé
,arua1262,arx-arua,arx,{},-12.5,-62.5,,Aruashi,11,Mondé
,toca1235,asu,asu,{},-3.59359,-49.8991,,Asuriní Tocantins,12,Tupi-Guarani
,xing1248,asn,asn,{},-4.13463,-52.321,,Asuriní Xingu,13,Tupi-Guarani
,avac1239,avv,avv,{},-13.6081,-48.1336,,Avá Canoeiro,14,Tupi-Guarani
,awet1244,awe,awe,{},-12.381944,-53.391944,,Awetí,15,Aweti
,east2555,gui,gui,{},-20.42,-63.37,,Chiriguano,16,Tupi-Guarani
,chir1286,nhd,nhd,{},-25.65,-55.05,,Ñandeva,17,Tupi-Guarani
,cint1239,cin,cin,{},-10.5879,-60.8312,,Cinta-Larga,18,Mondé
,coca1259,cod,cod,{},-4.5,-74.0,,Kokama,19,Omagua-Kokama
,emer1243,eme,eme,{},3.23694,-52.3699,,Teko,20,Tupi-Guarani
,gavi1246,gvo-gaviao,gvo,{},-10.7235,-61.6752,,Gavião,21,Mondé
,guaj1256,gvj,gvj,{},-3.93574,-46.3683,,Guajá,22,Tupi-Guarani
,guaj1255,gub,gub,{},-4.69461,-45.7081,,Guajajara,23,Tupi-Guarani
,para1311,gug,gug,{},-25.60551,-57.08816,,Guaraní,24,Tupi-Guarani
,guar1292,gyr,gyr,{},-15.8247,-61.6934,,Guarayo,25,Tupi-Guarani
,ache1246,guq,guq,{},-25.5865,-56.4697,,Guayaki_Ache,26,Tupi-Guarani
,diah1239,dia,???,{},-8.04,-62.27,,Jiahoi,27,Tupi-Guarani
,jora1240,jor,jor,{},-15.75,-63.21,,Jora,28,Tupi-Guarani
,juma1249,jua,jua,{},-7.28,-64.1,,Juma,29,Tupi-Guarani
,juru1256,jur,jur,{},-10.9354,-53.3472,,Juruna,30,Juruna
,urub1250,urb,urb,{},-2.46455,-46.2204,,Ka'apor,31,Tupi-Guarani
,???,kbn,???,{},-6.333723,-60.519885,,Kabanae,32,Mondé
,kaiw1246,kgk,kgk,{},-24.589,-54.6815,,Kaiowa,33,Tupi-Guarani
,kama1373,kay,kay,{},-12.2661,-53.4651,,Kamajura,34,Tupi-Guarani
,???,???,kmp,{},-12.790872,-61.193643,,Kampe,35,Tuparí
,kari1311,ktn,ktn,{},-9.37937,-64.1522,,Karitiana,36,Arikem
,karo1305,arr,arr,{},-10.3342,-61.5691,,Karo_Arara,37,Ramarana-Purubora
,kaya1329,kyz,kyz,{},-11.2747,-55.5479,,Kayabi,38,Tupi-Guarani
,kepk1241,kpn,kpn,{},-11.66,-61.25,,Kepkiriwat,39,Tuparí
,kuru1309,kyr,kyr,{},-3.09561,-52.2303,,Kuruaya,40,Munduruku
